id,ticket_id,user_id,content,created_at
22b8077e-4116-41de-8cd5-90e8db12719c,7c3192c4-d8d5-44d8-a393-2192e3b79436,eecf02e4-d4fd-474c-8c28-ea93db72a46e,Halo,2026-06-04 14:58:30.274724+00
7aac1269-1c07-4d23-8cc1-ad5b3f100fa2,7c3192c4-d8d5-44d8-a393-2192e3b79436,eecf02e4-d4fd-474c-8c28-ea93db72a46e,Hai,2026-06-04 14:58:39.061489+00
2677e1d7-7649-4e91-8ae6-eeabf70595f7,0af11516-9922-4fdd-b543-49135934fc77,eecf02e4-d4fd-474c-8c28-ea93db72a46e,Test comment admin,2026-06-05 08:29:30.552366+00
2eee937f-58c4-4151-bd01-9651ca7de1c5,0af11516-9922-4fdd-b543-49135934fc77,eecf02e4-d4fd-474c-8c28-ea93db72a46e,"Sudah di assign ke Helpdesk, ya!",2026-06-05 17:44:50.052337+00
c6c30235-12b6-41bb-ae2c-3c38d2f13155,2ace73e2-bba3-4269-a328-8b5803d91d41,eecf02e4-d4fd-474c-8c28-ea93db72a46e,"Sudah di assign ke helpdek, mohon ditunggu yaa!",2026-06-23 18:32:17.68402+00
42f8160f-5264-4063-8565-017920150047,2ace73e2-bba3-4269-a328-8b5803d91d41,c381c894-0547-47f9-a0c8-2be1e526de1b,Halo sedang dikerjakan yaa!,2026-06-23 19:32:51.278921+00
328cbfcb-038f-4b46-bcfa-6c0a3d01d3ab,2ace73e2-bba3-4269-a328-8b5803d91d41,fd5aef8a-4621-4d42-95ec-eaf214d1e1cf,"Halo pak, oke baik saya tunggu yaa!",2026-06-23 19:48:32.087681+00
c4266506-cef8-412f-a08a-e3cfe298d43a,2ace73e2-bba3-4269-a328-8b5803d91d41,c381c894-0547-47f9-a0c8-2be1e526de1b,Done ya! senang membantu anda.,2026-06-23 19:49:55.647665+00
c21456a8-e0e3-4b70-afb0-624232ab57fa,20cfd206-adb9-4390-839f-7e9dd4809c3c,eecf02e4-d4fd-474c-8c28-ea93db72a46e,Sudah di assign ke Helpdesk.,2026-06-30 07:25:17.521472+00
f4bc67db-978b-4c46-804a-15f748ad17d5,20cfd206-adb9-4390-839f-7e9dd4809c3c,c381c894-0547-47f9-a0c8-2be1e526de1b,Sudah selesai ya!,2026-06-30 07:32:34.054488+00
fd9f7bd8-8a16-4895-ad2d-3d1279cff16e,20cfd206-adb9-4390-839f-7e9dd4809c3c,fd5aef8a-4621-4d42-95ec-eaf214d1e1cf,"BAIK, TERIMA KASIH ^^",2026-06-30 07:34:58.678201+00
d9ea9242-f291-4240-abbb-bbaabd86f0e9,07b39a8c-a2bb-4ebd-b168-125d2e18c8d1,eecf02e4-d4fd-474c-8c28-ea93db72a46e,Sudah di assign ke helpdesk ya.,2026-06-30 11:52:54.78721+00
c6262e13-9f89-40d8-85fa-f89b5890c65c,07b39a8c-a2bb-4ebd-b168-125d2e18c8d1,fc851c59-debc-43e5-a3f2-96d44cd7ea95,"Done, terimakasih",2026-06-30 11:53:59.062579+00
9d544bfe-6023-4a9f-8a46-7ce031545105,79ca6e11-63ba-4caa-8f7c-081e3c13ed2a,eecf02e4-d4fd-474c-8c28-ea93db72a46e,Halo,2026-06-30 17:16:11.583954+00
5c92fc5e-c986-4106-afce-e47578afc28b,9e36b40b-488d-4ffd-b137-af88003281a8,9632db3d-a5db-4160-b506-0af142578c5c,Sudah di assign ke heldesk ya Zelvia!,2026-07-02 20:46:21.379155+00
b3079972-9fa8-449a-b562-32d2d5ccccf3,7b3a1165-a4e8-4b3d-983c-db746e032927,9632db3d-a5db-4160-b506-0af142578c5c,DONE QWOI UDAH SAYA ASSIGN,2026-07-02 21:25:27.08363+00
e2d6ddc8-ead0-49e4-86a6-1cbb2bc9a102,7b3a1165-a4e8-4b3d-983c-db746e032927,773bd6e0-35a2-4f67-9308-ce6b30df8efd,BERESSSSSSSSSSSSS,2026-07-02 21:26:29.126893+00
